Feature,Importance_Step_9
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,0.0
B_B_CREDIT_DURATION_MIN_CA_CLOSED,0.0
AMT_INCOME_TOTAL_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_DAYS_ENDDATE_FACT_STD_OVERALL,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
DAYS_LAST_PHONE_CHANGE,0.0
B_B_CREDIT_DURATION_MEAN_CA_CLOSED,0.0
B_B_CREDIT_DURATION_MAX_CA_CLOSED,0.0
AMT_ANNUITY_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
B_DAYS_CREDIT_STD_OVERALL,0.0
AMT_INCOME_TOTAL_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
AMT_INCOME_TOTAL_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
AGE_EMPLOYED_DIFF,0.0
B_DAYS_ENDDATE_FACT_MAX_OVERALL,0.0
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
CREDIT_GOODS_DIFF,0.0
AMT_INCOME_TOTAL_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
FLOORSMAX_MEDI,0.0
DAYS_ID_PUBLISH,0.0
CAR_AGE_DIFF,0.0
HOUR_PROCESS_CREDIT_MUL,0.0
REG_CITY_NOT_WORK_CITY,0.0
INCOME_APARTMENT_MODE_MUL,0.0
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
FLAG_REGIONS_SUM,0.0
CAR_EMPLOYED_DIFF,0.0
APARTMENTS_SUM_MODE,0.0
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
CAR_EMPLOYED_RATIO,0.0
FLAG_DOCUMENT_3,0.0
B_AMT_CREDIT_SUM_MAX_OVERALL,0.0
OBS_60_CREDIT_RATIO,0.0
ENTRANCES_AVG,0.0
B_AMT_CREDIT_SUM_MEAN_OVERALL,0.0
AMT_ANNUITY,0.0
B_B_CREDIT_DURATION_SUM_OVERALL,0.0
REG_CITY_NOT_LIVE_CITY,0.0
B_CREDIT_TYPE_CONSUMER CREDIT_MEAN,0.0
OWN_CAR_AGE,0.0
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,0.0
